_key,cik_str,ticker,title
140,1809691,HKD,AMTD Digital Inc.
141,109198,TJX,TJX COMPANIES INC /DE/
142,1091667,CHTR,"CHARTER COMMUNICATIONS, INC. /MO/"
143,1682852,MRNA,"Moderna, Inc."
144,1559720,ABNB,"Airbnb, Inc."
145,1103838,IBN,ICICI BANK LTD
146,16875,CP,CANADIAN PACIFIC RAILWAY LTD/CN
147,1524684,GLNCY,Glencore plc/ADR
148,9631,BNS,BANK OF NOVA SCOTIA
149,1393818,BX,Blackstone Inc.
150,10795,BDX,BECTON DICKINSON & CO
151,1133421,NOC,NORTHROP GRUMMAN CORP /DE/
152,1156375,CME,CME GROUP INC.
153,1061736,FMX,MEXICAN ECONOMIC DEVELOPMENT INC
154,1650372,TEAM,Atlassian Corp Plc
155,1018724,AMZN,AMAZON COM INC
156,1123658,SNP,CHINA PETROLEUM & CHEMICAL CORP
157,277948,CSX,CSX CORP
158,823768,WM,WASTE MANAGEMENT INC
159,707549,LRCX,LAM RESEARCH CORP
160,36104,USB,US BANCORP DE
161,80661,PGR,PROGRESSIVE CORP/OH/
162,713676,PNC,"PNC FINANCIAL SERVICES GROUP, INC."
163,872589,REGN,"REGENERON PHARMACEUTICALS, INC."
164,723125,MU,MICRON TECHNOLOGY INC
165,21665,CL,COLGATE PALMOLIVE CO
166,927971,BMO,BANK OF MONTREAL /CAN/
167,798354,FISV,FISERV INC
168,67088,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC
169,1065521,SFTBY,SOFTBANK GROUP CORP
170,715957,D,"DOMINION ENERGY, INC"
171,92230,TFC,TRUIST FINANCIAL CORP
172,860730,HCA,"HCA Healthcare, Inc."
173,1067318,DMLRY,DAIMLER AG
174,1463157,PBCRY,PT Bank Central Asia Tbk / ADR
175,1099800,EW,Edwards Lifesciences Corp
176,49826,ITW,ILLINOIS TOOL WORKS INC
177,37996,F,FORD MOTOR CO
178,718877,ATVI,"Activision Blizzard, Inc."
179,821189,EOG,EOG RESOURCES INC
180,1101239,EQIX,EQUINIX INC
181,30554,CTA-PA,DUPONT E I DE NEMOURS & CO
182,89800,SHW,SHERWIN WILLIAMS CO
183,49071,HUM,HUMANA INC
184,40533,GD,GENERAL DYNAMICS CORP
185,1543151,UBER,"Uber Technologies, Inc"
186,917851,VALE,Vale S.A.
187,315293,AON,Aon plc
188,1017413,CNQ,CANADIAN NATURAL RESOURCES LTD
189,1737806,PDD,Pinduoduo Inc.
190,1136893,FIS,"Fidelity National Information Services, Inc."
